"id","updated_at","carbs","dietary_fiber","energy_kcal","energy_kj","fat","name","net_carbs","preparation_time_in_minutes","protein","saturated_fats","servings","sugar","total_fats","total_grams","categories"
189,2024-09-12 10:22:18.470,61.9372,3.6744000000000003,450.7004999999999,0.0,16.150650000000002,Σαλάτα με ρύζι και κοτόπουλο ,0.0,25,10.90255,0.195,2,8.931365,16.150650000000002,322.4,"2,3,4"
169,2024-09-11 10:49:53.185,27.858700000000002,13.504900000000003,265.6705,0.0,16.788400000000003,"Σαλάτα με σπανάκι, αβοκάντο και ντοματίνια",0.0,15,9.36705,2.0875,2,8.741365,16.788400000000003,453.65,"1,2,3,4"
622,2025-04-10 07:19:29.574,4.995799999999999,1.59,102.794,0.0,9.37,Σαλάτα με σπανάκι και ντοματίνια,0.0,5,1.38,1.3205,1,2.7909100000000007,9.37,129.6,"2,4"
184,2024-09-12 09:41:34.055,47.38870000000001,6.4549,431.6205,0.0,18.2734,Σαλάτα με φαγόπυρο και ψητά θαλασσινά,0.0,20,18.617050000000003,0.049,2,5.716365000000001,18.2734,216.4,"2,4"
76,2024-09-04 06:52:35.093,67.35685000000001,4.37495,343.01775000000004,0.0,4.209825,Σαλάτα με φακές και κινόα,0.0,60,9.160524999999998,0.11625,4,7.566307500000001,4.209825,258.79375,"2,3,4"
223,2024-09-18 08:19:31.776,42.88996666666667,5.755766666666666,233.45033333333333,0.0,4.9551,Σαλάτα με φακές και πλιγούρι,0.0,90,5.404533333333334,0.1831666666666667,6,9.222743333333334,4.9551,159.76666666666668,"2,4"
172,2024-09-12 06:53:52.187,41.546,9.859593750000004,265.7996875,0.0,8.357218750000001,Σαλάτα με ψητά λαχανικά και ταλαγάνι,0.0,45,9.4308125,0.46368750000000003,4,20.046893750000002,8.357218750000001,427.15625,"2,3,4"
197,2024-09-13 08:10:05.611,45.45570000000001,6.0219000000000005,307.46549999999996,0.0,7.880400000000001,Σαλάτα ντάκος,0.0,5,13.063049999999999,0.0075,1,8.389365,7.880400000000001,267.15,"2,4"
186,2024-09-12 09:48:33.005,15.15535,2.2880499999999997,75.66024999999999,0.0,1.6717000000000002,Σαλάτα ρόκα με αχλάδι,0.0,5,0.871025,0.0925,2,14.3841825,1.6717000000000002,115.825,"2,3,4"
198,2024-09-13 08:18:52.229,45.907599999999995,11.822075,239.12425,0.0,4.832275000000001,Σαλάτα ταμπουλέ,0.0,30,7.82,0.19285000000000002,5,2.82947,4.832275000000001,180.575,"2,4"
