"id","created_at","updated_at","basic","carbs","default_amount","default_measurement","dietary_fiber","energy_kcal","energy_kj","food_group","name","protein","saturated_fats","source_database","sugar","total_fats","density"
981,2024-08-22 14:24:39.663,2024-09-04 12:14:21.797,false,1.4,1.0,SLICES,0.0,546.0,2284.464,,Τυρί Ημίσκληρο Κασέρι,7.4,0.0,AB,0.7,47.5,1.0
982,2024-08-22 14:24:39.692,2024-09-04 12:14:21.833,false,0.0,1.0,SLICES,0.0,402.0,1681.968,,Τυρί Μανούρι,32.4,0.0,AB,0.0,29.7,1.0
983,2024-08-22 14:24:39.721,2024-09-04 12:14:21.850,false,1.5,2.0,TABLESPOONS,0.0,220.0,920.48,,Τριμμένο Τυρί Parmigiano Reggiano,13.0,0.0,AB,1.5,18.0,0.58
984,2024-08-22 14:24:39.741,2024-09-04 12:14:21.868,false,3.0,2.0,TABLESPOONS,0.0,189.0,790.7760000000001,,Αλειφωτή,15.0,0.0,AB,1.0,13.0,0.95
985,2024-08-22 14:24:39.766,2024-09-04 12:14:21.893,false,5.0,1.0,PIECES,0.3,122.0,510.44800000000004,,Λουκάνικα Κοκτέιλ,14.0,0.0,AB,3.0,5.0,1.0
986,2024-08-22 14:24:39.788,2024-09-04 12:14:21.911,false,6.0,1.0,SLICES,0.0,117.0,489.528,,Ωμοπλάτη Χοιρινή Φέτες,12.0,0.0,AB,1.5,5.0,1.0
987,2024-08-22 14:24:39.807,2024-09-04 12:14:21.933,false,2.1,1.0,SLICES,0.0,116.0,485.344,,Ζαμπόν Βραστό Φέτες,18.0,0.0,AB,0.0,4.0,1.0
988,2024-08-22 14:24:39.827,2024-09-04 12:14:21.951,false,2.0,1.0,SLICES,0.0,349.0,1460.2160000000001,,Ζαμπόν Καπνιστό Φέτες,26.0,0.0,AB,0.0,26.0,1.0
989,2024-08-22 14:24:39.850,2024-09-04 12:14:21.971,false,6.0,2.0,TABLESPOONS,0.0,94.0,393.296,,Τριμμένο Τυρί Pizza,13.0,0.0,AB,1.0,2.0,0.45
990,2024-08-22 14:24:39.873,2024-09-04 12:14:21.997,false,0.1,1.0,SLICES,0.0,208.0,870.272,,Γαλοπούλα Ψητή Οβάλ,25.0,0.0,AB,0.1,12.0,1.0
991,2024-08-22 14:24:39.907,2024-09-04 12:14:22.026,false,4.0,1.0,PIECES,0.0,90.0,376.56,,Μαλακό Τυρί Mini Babybel Light,14.0,0.0,AB,1.7,2.0,1.0
992,2024-08-22 14:24:39.985,2024-09-04 12:14:22.105,false,3.3,2.0,TABLESPOONS,0.0,835.0,3493.6400000000003,,Τυρί Μυζήθρα,12.1,0.0,AB,3.3,15.5,1.0
993,2024-08-22 14:24:40.013,2024-09-04 12:14:22.125,false,0.0,2.0,TABLESPOONS,0.0,395.0,1652.68,,Μυζήθρα Ξινή,29.0,0.0,AB,0.0,31.0,1.0
994,2024-08-22 14:24:40.046,2024-09-04 12:14:22.144,false,0.0,1.0,SLICES,0.0,269.0,1125.496,,Τυρί Emmental Αυστρίας,29.0,0.0,AB,0.0,17.0,1.0
995,2024-08-22 14:24:40.067,2024-09-04 12:14:22.161,false,0.1,1.0,SLICES,0.0,273.0,1142.232,,Προσούτο,16.5,0.0,AB,0.1,23.0,1.0
996,2024-08-22 14:24:40.098,2024-09-04 12:14:22.178,false,0.1,1.0,SLICES,0.0,273.0,1142.232,,Τυρί Φέτα Βιολογική,16.5,0.0,AB,0.1,23.0,1.0
